Mpg,Passengers,Length,Wheelbase,Width,Uturnspace,Rearseat,Luggage,Weight,Horsepower,Fueltank
31,5,177,102,68,37,26.5,11,2705,140,13.2
25,5,195,115,71,38,30,15,3560,200,18
26,5,180,102,67,37,28,14,3375,172,16.9
26,6,193,106,70,37,31,17,3405,172,21.1
30,4,186,109,69,39,27,13,3640,208,21.1
31,6,189,105,69,41,28,16,2880,110,16.4
28,6,200,111,74,42,30.5,17,3470,170,18
25,6,216,116,78,45,30.5,21,4105,180,23
27,5,198,108,73,41,26.5,14,3495,170,18.8
25,6,206,114,73,43,35,18,3620,200,18
25,5,204,111,74,44,31,14,3935,295,20
36,5,182,101,66,38,25,13,2490,110,15.2
34,5,184,103,68,39,26,14,2785,110,15.6
28,4,193,101,74,43,25,13,3240,160,15.5
29,6,198,108,71,40,28.5,16,3195,110,16.5
23,7,178,110,74,44,30.5,14,3715,170,20
20,8,194,111,78,42,33.5,15,4025,165,27
26,6,214,116,77,42,29.5,20,3910,170,23
25,2,179,96,74,43,30,22,3380,300,20
28,6,203,113,74,40,31,15,3515,153,18
28,6,183,104,68,41,30.5,14,3085,141,16
26,6,203,110,69,44,36,17,3570,147,16
33,5,174,98,66,32,26.5,11,2270,92,13.2
29,5,172,97,67,38,26.5,13,2670,93,14
27,6,181,104,68,39,30.5,14,2970,100,16
21,7,175,112,72,42,26.5,13,3705,142,20
27,6,192,105,69,42,30.5,16,3080,100,16
24,4,180,97,72,40,20,11,3805,300,19.8
33,5,174,98,66,36,26.5,11,2295,92,13.2
28,6,202,113,74,40,30,15,3490,214,18
33,4,141,90,63,33,26,12,1845,63,10
30,5,171,98,67,36,28,12,2530,127,13.2
27,5,177,100,68,39,27.5,13,2690,96,15.9
29,4,180,101,68,40,24,12,2850,105,15.4
30,4,179,103,70,38,23,18,2710,115,15.5
20,7,176,119,72,45,30,19,3735,145,21
30,5,192,106,71,40,27.5,18,3325,140,16
26,6,212,114,78,43,30,21,3950,190,20
50,4,151,93,63,34,27.5,10,1695,55,10.6
36,4,164,97,67,37,24.5,11,2475,90,12.4
31,4,175,100,70,39,23.5,8,2865,160,15.9
46,4,173,103,67,36,28,12,2350,102,11.9
31,4,185,107,67,41,28,14,3040,140,17
33,5,168,94,63,35,26,11,2345,81,11.9
29,5,172,98,66,36,28,12,2620,124,13.7
34,4,166,94,64,34,23.5,9,2285,92,11.9
27,5,184,104,69,41,31,14,2885,128,17.2
22,5,200,113,72,42,29,15,4000,278,22.5
24,5,188,103,70,40,27.5,14,3510,185,18.5
23,4,191,106,71,39,25,9,3515,225,20.6
26,6,205,109,73,42,30,19,3695,160,18.4
26,6,219,117,77,45,31.5,22,4055,210,20
37,4,164,97,66,34,27,16,2325,82,13.2
36,5,172,98,66,36,26.5,13,2440,103,14.5
34,5,184,103,69,40,29.5,14,2970,164,15.5
24,7,190,110,72,39,27.5,12,3735,155,19.6
25,2,169,96,69,37,28,11,2895,255,20
29,5,175,105,67,34,26,12,2920,130,14.5
25,5,187,110,69,37,27,15,3525,217,18.5
26,4,166,95,65,36,19,6,2450,100,11.1
26,5,199,113,73,38,28,15,3610,140,18
33,5,172,98,67,36,26,11,2295,92,13.2
24,5,190,107,70,43,27.5,14,3730,202,19
33,5,170,96,66,33,26,12,2545,110,13.2
30,5,181,103,67,40,28.5,14,3050,150,15.9
23,7,190,112,74,41,27,15,4100,151,20
26,5,188,104,69,41,28.5,14,3200,160,18.5
31,5,188,103,67,39,28,14,2910,155,15.2
31,5,190,105,70,42,28,16,2890,110,16.5
23,7,194,110,74,44,30.5,14,3715,170,20
28,6,201,111,74,42,31.5,17,3470,170,18
30,4,173,97,67,39,24.5,8,2640,92,15.9
41,4,177,99,66,35,25.5,17,2350,74,13.2
31,5,181,101,66,39,25,13,2575,110,15.2
28,4,196,101,75,43,25,13,3240,160,15.5
27,5,195,108,72,41,28.5,16,3450,200,16.5
28,6,177,111,74,43,30.5,18,3495,170,18
26,5,184,99,67,37,26.5,14,2775,140,18
38,5,176,102,68,40,26.5,12,2495,85,12.8
37,4,146,90,60,32,23.5,10,2045,73,9.2
30,5,175,97,65,35,27.5,15,2490,90,15.9
30,5,179,102,67,37,27,14,3085,130,15.9
43,4,161,93,63,34,27.5,10,1965,70,10.6
37,5,162,94,65,36,24,11,2055,82,11.9
32,4,174,99,69,39,23,13,2950,135,15.9
29,5,188,103,70,38,28.5,15,3030,130,18.5
22,7,187,113,71,41,35,17,3785,138,19.8
33,4,163,93,63,34,26,10,2240,81,12.4
21,7,187,115,72,38,34,12,3960,109,21.1
30,5,180,103,67,35,31.5,14,2985,134,18.5
25,4,159,97,66,36,26,15,2810,178,18.5
28,5,190,104,67,37,29.5,14,2985,114,15.8
28,5,184,105,69,38,30,15,3245,168,19.3
